CPU Usage (%),Memory Usage (%),CPU Temperature (°C)
1.5,33.3,74.136
1.3,33.3,73.598
5.1,33.6,73.598
11.3,33.7,73.06
5.8,33.7,73.598
4.8,33.7,74.136
10.8,33.7,73.598
3.5,33.7,73.06
2.5,33.7,73.06
2.8,33.7,73.06
2.3,33.7,72.522
2.3,33.7,73.06
1.8,33.7,73.06
2.5,33.7,73.06
1.8,33.7,72.522
2.8,33.7,73.06
1.3,33.7,72.522
2.8,33.7,73.06
3.8,33.7,73.06
3.0,33.7,72.522
2.0,33.7,73.06
2.5,33.7,71.984
3.0,33.7,71.984
2.3,33.7,72.522
8.1,33.8,73.06
4.0,33.8,72.522
3.0,33.8,71.984
20.5,34.2,74.136
4.3,34.2,73.598
2.5,34.2,73.06
3.5,34.2,73.06
3.3,34.3,73.06
2.8,34.3,72.522
3.3,34.3,72.522
2.5,34.3,72.522
2.3,34.3,72.522
2.0,34.3,71.984
2.5,34.3,71.984
2.8,34.3,73.06
2.7,34.3,71.984
2.5,34.3,73.06
2.0,34.3,71.984
2.3,34.3,72.522
3.8,34.3,72.522
3.0,34.3,72.522
2.0,34.3,71.984
2.5,34.3,71.984
4.0,34.3,72.522
2.0,34.3,71.984
6.8,34.3,72.522
5.9,34.3,71.984
12.3,34.3,73.06
3.0,34.3,73.06
10.0,34.3,73.06
37.8,34.9,75.212
8.3,35.0,74.136
6.3,35.0,73.598
6.3,35.0,74.136
3.8,35.0,73.06
6.8,35.0,73.598
21.0,35.8,75.212
24.8,36.2,75.75
6.3,36.3,74.136
4.0,36.3,74.136
5.0,36.3,73.598
5.0,36.3,73.598
10.4,36.4,73.598
2.0,36.4,73.598
2.8,36.4,73.06
1.8,36.4,72.522
1.5,36.4,73.06
4.0,36.4,73.598
1.5,36.4,72.522
1.8,36.4,73.06
1.5,36.4,72.522
1.0,36.4,72.522
1.8,36.4,72.522
3.5,36.4,72.522
3.1,36.4,72.522
2.0,36.4,71.984
1.8,36.4,71.984
2.8,36.4,71.984
2.5,36.4,72.522
7.9,36.4,73.06
2.0,36.4,72.522
2.5,36.4,71.984
17.4,36.9,73.598
5.5,36.9,73.06
1.3,36.9,73.06
1.8,36.9,71.984
1.8,36.9,71.984
1.8,36.9,71.984
1.3,36.9,72.522
6.2,36.9,72.522
14.8,35.7,73.598
5.1,35.7,73.06
3.1,35.7,72.522
5.0,35.7,72.522
9.3,35.7,74.136
3.3,35.7,73.06
2.8,35.7,73.06
2.5,35.7,73.06
5.6,35.7,72.522
5.7,35.7,73.06
4.3,35.7,72.522
21.6,35.7,74.136
22.2,35.7,75.212
5.1,35.7,73.598
3.5,35.7,73.598
3.8,35.7,73.598
17.3,35.8,74.136
5.3,35.8,74.136
11.5,35.7,74.136
5.8,35.9,74.674
2.3,35.7,73.598
2.3,35.7,73.06
2.5,35.7,73.06
3.5,35.7,73.598
2.0,35.7,73.06
2.5,35.7,73.06
3.3,35.7,73.06
3.0,35.7,73.06
3.0,35.7,73.06
5.5,35.9,73.06
6.2,35.7,73.06
5.5,35.7,73.06
4.3,35.7,73.06
5.5,35.7,73.06
3.7,35.7,72.522
8.0,35.7,73.598
2.8,35.7,72.522
10.1,35.7,73.06
4.5,35.7,73.06
7.3,35.7,73.06
7.2,35.7,73.598
2.8,35.7,72.522
2.3,35.7,73.06
3.0,35.7,72.522
2.3,35.7,72.522
3.0,35.7,72.522
2.8,35.7,72.522
12.3,35.7,73.06
4.8,35.7,73.06
3.0,35.7,73.06
2.5,35.7,73.06
2.3,35.7,71.984
3.0,35.7,71.984
3.8,35.7,72.522
2.8,35.7,72.522
3.3,35.7,71.984
3.0,35.7,71.984
3.2,35.7,71.984
3.5,35.7,71.984
3.2,35.7,72.522
3.0,35.7,72.522
3.8,35.7,71.984
2.5,35.7,72.522
2.8,35.7,72.522
3.7,35.7,71.984
2.8,35.7,71.984
2.8,35.7,71.984
2.3,35.7,72.522
3.3,35.7,71.446
3.3,35.7,71.984
2.3,35.7,72.522
2.5,35.7,71.446
2.3,35.7,71.984
2.5,35.7,71.446
2.5,35.7,72.522
3.2,35.7,71.984
2.3,35.7,71.984
2.5,35.7,71.984
2.5,35.7,71.446
4.0,35.7,71.984
2.8,35.7,72.522
3.0,35.7,71.446
3.7,35.7,71.984
3.0,35.7,71.984
2.0,35.7,71.984
2.5,35.7,72.522
3.8,35.7,71.984
2.3,35.7,71.446
2.3,35.7,71.984
3.0,35.7,71.984
3.0,35.7,71.984
10.9,35.8,72.522
3.5,35.8,72.522
2.5,35.8,72.522
3.3,35.8,71.984
1.8,35.8,71.984
2.8,35.8,71.984
2.5,35.8,71.984
1.8,35.8,72.522
2.0,35.8,71.984
1.8,35.8,71.984
2.5,35.8,71.984
2.8,35.8,71.446
5.0,35.8,71.984
4.3,35.8,71.446
2.8,35.8,71.446
2.3,35.8,73.06
3.5,35.8,71.446
10.6,35.8,73.06
3.8,35.6,71.984
4.3,35.6,72.522
2.5,35.6,71.984
3.6,35.6,71.984
3.0,35.6,71.984
1.8,35.6,71.984
2.8,35.6,71.984
2.0,35.6,71.984
3.0,35.6,72.522
1.8,35.6,71.984
3.0,35.6,72.522
2.3,35.6,71.984
3.5,35.6,71.446
4.5,35.6,71.984
3.5,35.6,71.984
3.8,35.6,71.446
3.2,35.6,71.984
2.8,35.6,71.984
2.3,35.6,71.446
2.5,35.6,71.984
2.8,35.6,71.984
3.0,35.6,71.446
